               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.035305,            0.034936,           0.0032916,             0.60883,             0.57509,             0.59989,              0.2681,            0.038805,             0.01568,           0.0087171,           0.0082207,           0.0082207,           0.0082207
                  46,            0.033865,            0.031973,           0.0037213,             0.55964,             0.60893,             0.58217,             0.26028,             0.03957,            0.015503,           0.0087271,            0.008145,            0.008145,            0.008145
                  47,            0.034102,            0.033841,           0.0029278,             0.59413,             0.59707,             0.59157,             0.26032,             0.03921,            0.015777,           0.0078446,           0.0080682,           0.0080682,           0.0080682
                  48,            0.033704,            0.036411,           0.0029395,             0.56441,              0.5947,             0.59318,             0.26885,            0.038379,            0.015788,           0.0076113,           0.0079903,           0.0079903,           0.0079903
                  49,            0.033883,            0.032768,           0.0029198,             0.62194,             0.59549,             0.59756,             0.25094,            0.039023,            0.015723,           0.0080786,           0.0079112,           0.0079112,           0.0079112
                  50,            0.033445,            0.038246,           0.0026945,             0.62132,             0.57333,             0.58558,             0.25566,            0.040228,            0.015672,           0.0086102,           0.0078311,           0.0078311,           0.0078311
                  51,            0.033677,            0.038458,           0.0028909,             0.58738,             0.59498,             0.59694,             0.24973,            0.039851,            0.015742,           0.0097704,             0.00775,             0.00775,             0.00775
                  52,            0.033424,            0.038119,           0.0031447,              0.5363,             0.61144,             0.58916,             0.25917,            0.038956,              0.0156,           0.0091674,           0.0076679,           0.0076679,           0.0076679
                  53,             0.03348,            0.032124,           0.0025201,              0.6135,              0.5927,             0.61673,             0.27582,            0.038799,             0.01571,           0.0090091,           0.0075848,           0.0075848,           0.0075848
                  54,            0.032758,            0.031758,            0.002801,             0.63655,             0.59601,             0.60096,             0.26292,            0.038138,            0.015704,           0.0088857,           0.0075009,           0.0075009,           0.0075009
                  55,            0.032663,            0.035055,           0.0024477,             0.59571,              0.5852,             0.57997,             0.25258,            0.039562,            0.015635,           0.0094084,            0.007416,            0.007416,            0.007416
                  56,            0.031792,            0.033652,           0.0021963,             0.57254,             0.61633,             0.60882,             0.27567,            0.038835,            0.015523,           0.0091456,           0.0073303,           0.0073303,           0.0073303
                  57,            0.032512,            0.035698,           0.0030393,             0.64168,             0.58302,             0.60994,             0.27545,            0.037855,            0.015494,           0.0095785,           0.0072438,           0.0072438,           0.0072438
                  58,            0.031556,            0.034704,           0.0022419,             0.63367,             0.58085,             0.59068,             0.26513,             0.03808,            0.015728,            0.010241,           0.0071566,           0.0071566,           0.0071566
                  59,            0.031887,            0.035292,           0.0021449,             0.60293,             0.58196,             0.57516,             0.25727,            0.038997,            0.015731,            0.010781,           0.0070686,           0.0070686,           0.0070686
                  60,            0.032534,            0.036126,           0.0023913,             0.60755,             0.58957,             0.58645,             0.26729,            0.038238,            0.015721,           0.0099395,           0.0069799,           0.0069799,           0.0069799
