   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.65908,             0.45337,             0.50311,             0.19822,            0.054603,            0.033886,            0.010159,             0.01061,             0.09519,             0.91014,              0.0005,              4.0577,             0.76956,             0.08921,             0.06474,             0.40566,              1.0586,              1.2139,             0.76742,                 0.2,              4.0146,                   0,             0.01761,             0.59013,             0.34626,                   0,             0.12847,             0.50252,                   0,                   0,                   0,                 0.5,             0.94991,                   0,                   0,              2.4391
             0.45354,             0.59427,             0.50744,              0.1889,            0.043142,            0.032185,           0.0089867,             0.01049,              0.1021,             0.94105,             0.00041,              2.8654,                0.95,             0.09468,             0.04896,             0.47141,              1.0779,              1.1563,             0.73236,                 0.2,              3.9919,                   0,             0.01358,             0.71566,             0.40868,                   0,             0.10369,              0.4448,                   0,                   0,                   0,                 0.5,             0.90103,                   0,                   0,              2.7752
             0.60703,              0.4671,             0.47488,             0.19461,            0.054462,             0.02632,             0.01162,             0.00847,             0.10612,             0.90107,             0.00044,              2.8654,                0.95,             0.09898,             0.06283,             0.51093,              1.1308,             0.91617,             0.74711,                 0.2,              4.5164,                   0,              0.0119,             0.69899,             0.43193,                   0,             0.11506,             0.45672,                   0,                   0,                   0,                 0.5,             0.88562,                   0,                   0,              2.2986
             0.66771,             0.44392,             0.47164,               0.183,             0.05036,            0.036926,            0.010027,             0.01015,             0.10241,              0.9019,             0.00048,              3.5276,             0.84749,             0.09488,             0.05824,             0.40566,              1.0434,              1.2311,             0.83609,                 0.2,              3.9205,                   0,             0.01458,             0.70619,             0.41233,                   0,             0.13478,             0.50278,                   0,                   0,                   0,                 0.5,             0.87538,                   0,                   0,              2.7774
             0.43527,             0.56939,             0.50239,             0.19797,            0.043704,            0.033352,           0.0082373,             0.01081,             0.10136,                0.98,              0.0005,               2.944,              0.8461,             0.10671,             0.04834,             0.48984,              1.0521,              1.1861,             0.74711,                 0.2,              4.0107,                   0,             0.01188,             0.74551,             0.48675,                   0,             0.13417,             0.40817,                   0,                   0,                   0,                 0.5,             0.72711,                   0,                   0,              2.7175
             0.67478,             0.44804,             0.49206,             0.19506,            0.056233,            0.033131,            0.012134,              0.0101,             0.09293,             0.87401,              0.0005,               3.267,              0.8021,             0.09442,              0.0637,             0.40566,             0.91848,              1.1798,             0.76742,                 0.2,               3.891,                   0,             0.01696,             0.73499,             0.44147,                   0,             0.16718,             0.53681,                   0,                   0,                   0,                 0.5,             0.85199,                   0,                   0,              2.7774
             0.60325,             0.46304,             0.47599,             0.18551,            0.034325,            0.034207,           0.0097433,             0.01081,              0.1021,             0.83441,             0.00044,              3.4123,                0.95,             0.09898,             0.03723,             0.47141,              1.1825,              1.0329,             0.82676,                 0.2,               4.722,                   0,             0.01091,             0.75939,             0.35672,                   0,             0.11506,              0.4921,                   0,                   0,                   0,                 0.5,             0.90103,                   0,                   0,              2.9076
             0.60584,             0.49695,             0.48112,             0.18707,            0.046201,            0.030206,            0.011528,              0.0103,             0.10482,             0.88459,             0.00053,              3.0506,                0.95,             0.11323,             0.05188,              0.4646,             0.71938,              1.1128,             0.74711,                 0.2,              3.8791,                   0,             0.01329,             0.76596,             0.38418,                   0,             0.10684,             0.42927,                   0,                   0,                   0,                 0.5,             0.87464,                   0,                   0,              3.8477
             0.62017,             0.49165,             0.48811,             0.18674,            0.053949,            0.033708,            0.010713,             0.01017,             0.08494,               0.882,             0.00046,              3.7013,             0.82366,              0.1033,             0.05988,             0.40276,              1.0586,              1.1434,             0.80047,                 0.2,              3.8853,                   0,             0.01487,             0.71769,              0.3296,                   0,             0.13423,             0.52168,                   0,                   0,                   0,                 0.5,              0.8929,                   0,                   0,              3.4841
               0.615,             0.44036,             0.45714,             0.16949,            0.044286,            0.024742,            0.011134,             0.01021,             0.12389,              0.9558,              0.0004,              2.9722,             0.71772,             0.09898,             0.05022,             0.47141,              1.1767,             0.95269,             0.74711,                 0.2,              3.7045,                   0,             0.01313,             0.69899,             0.37725,                   0,             0.13096,             0.49758,                   0,                   0,                   0,                 0.5,             0.92129,                   0,                   0,              2.4384
             0.66175,             0.45736,             0.49118,             0.19394,            0.040892,            0.033603,           0.0083949,             0.01175,             0.12078,             0.91921,             0.00041,              2.8295,             0.91599,             0.09013,             0.04303,             0.49447,              1.1568,              1.1139,             0.82837,                 0.2,              4.0456,                   0,             0.01224,             0.61782,             0.36478,                   0,             0.11501,             0.44501,                   0,                   0,                   0,                 0.5,             0.85446,                   0,                   0,              2.6185
             0.69529,             0.47997,             0.53514,             0.21005,            0.050128,             0.03908,           0.0080693,             0.01316,             0.09062,             0.86912,             0.00059,              3.8021,                0.95,             0.14153,             0.05816,             0.34411,             0.99864,              1.2266,             0.76742,                 0.2,              5.1924,                   0,             0.01526,             0.46491,             0.38828,                   0,             0.14085,             0.40351,                   0,                   0,                   0,                 0.5,             0.94537,                   0,                   0,              3.1429
             0.65946,             0.40001,             0.47063,             0.18155,            0.042997,            0.027329,            0.010209,              0.0126,              0.1021,                0.98,             0.00055,              3.2083,             0.80518,             0.09924,             0.04889,             0.49746,              1.0168,             0.95576,             0.75624,                 0.2,              3.8791,                   0,             0.01329,             0.69899,             0.16363,                   0,             0.14351,             0.51249,                   0,                   0,                   0,                 0.5,             0.86297,                   0,                   0,              3.4852
             0.57308,             0.44856,             0.41332,             0.17312,            0.043343,            0.043605,            0.013782,               0.013,             0.09501,             0.79969,             0.00046,              3.3167,                0.95,             0.15445,             0.04811,             0.29325,              1.0406,              1.2266,             0.90062,                 0.2,              5.1924,                   0,             0.01595,             0.50334,             0.33825,                   0,             0.11949,             0.48749,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.3317
             0.58355,             0.45817,             0.46431,             0.17644,            0.061221,            0.030437,            0.011139,              0.0108,             0.10225,             0.85054,             0.00052,              3.4797,             0.84275,             0.09442,             0.07133,             0.40566,             0.93226,               1.253,             0.64992,                 0.2,              3.9746,                   0,             0.01487,             0.64733,               0.346,                   0,             0.13364,             0.54102,                   0,                   0,                   0,                 0.5,               0.925,                   0,                   0,              2.4041
             0.57583,             0.42274,             0.41853,             0.17166,            0.057567,            0.031549,            0.012571,              0.0109,             0.10918,             0.93161,             0.00042,               3.591,             0.84275,             0.06243,             0.06642,             0.36719,              1.0586,              1.2456,             0.62699,                 0.2,              4.3883,                   0,             0.01838,              0.7061,             0.46379,                   0,             0.15692,             0.28242,                   0,                   0,                   0,                 0.5,             0.89303,                   0,                   0,              3.6754
             0.60268,             0.49986,             0.46695,             0.18391,            0.052484,            0.036172,           0.0093066,             0.00977,             0.09755,             0.93898,             0.00046,              3.9972,             0.79955,             0.09442,             0.06256,             0.40566,              1.1718,              1.3433,             0.74712,                 0.2,               3.919,                   0,             0.01386,             0.64733,             0.37938,                   0,             0.12694,              0.4922,                   0,                   0,                   0,                 0.5,               0.925,                   0,                   0,              2.4255
             0.69778,             0.46228,             0.51547,             0.20523,            0.052126,            0.035319,           0.0099591,              0.0103,             0.11591,             0.89139,             0.00058,               2.276,             0.84275,             0.08343,             0.05988,             0.35153,              1.2978,              1.1947,             0.83591,                 0.2,              3.8408,                   0,             0.01487,             0.48312,             0.45997,                   0,             0.15529,              0.4679,                   0,                   0,                   0,                 0.5,             0.91223,                   0,                   0,              2.7774
              0.6837,             0.47739,             0.52608,             0.21259,            0.042809,            0.041384,           0.0073516,             0.01381,             0.10639,             0.89956,             0.00059,              3.2501,             0.90458,             0.12213,             0.04886,             0.34411,              1.0381,              1.3393,             0.76742,                 0.2,               5.003,                   0,             0.01227,             0.44921,              0.4178,                   0,             0.10041,             0.49343,                   0,                   0,                   0,                 0.5,             0.94537,                   0,                   0,              2.8485
             0.62421,             0.49773,              0.4893,              0.1997,            0.050126,            0.035656,            0.011078,             0.01012,             0.08393,             0.89684,             0.00036,               3.492,                0.95,             0.08957,             0.05808,             0.43394,              1.0586,              1.1648,              0.8339,                 0.2,              3.9746,                   0,             0.01487,             0.64733,             0.28234,                   0,             0.12847,              0.4804,                   0,                   0,                   0,                 0.5,             0.88022,                   0,                   0,              3.5643
             0.68079,             0.49562,             0.51701,             0.21382,            0.044863,            0.040058,           0.0075876,             0.01423,             0.10207,             0.86912,             0.00064,              3.8021,                0.95,             0.12302,             0.05048,             0.33367,             0.88435,              1.2266,             0.79842,                 0.2,              5.3565,                   0,             0.01526,             0.45879,             0.42922,                   0,             0.14085,             0.44066,                   0,                   0,                   0,                 0.5,             0.94167,                   0,                   0,              3.1429
             0.62208,             0.50284,             0.46456,             0.19099,            0.043509,            0.031105,           0.0077978,             0.01198,             0.11678,             0.89956,             0.00059,              3.2501,             0.93844,             0.11593,             0.05222,             0.28371,              1.0381,               1.089,             0.76742,                 0.2,              4.5022,                   0,             0.01316,             0.38293,             0.52385,                   0,             0.08498,             0.49343,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.68222,              0.4405,             0.49359,             0.20619,            0.041319,             0.04187,           0.0077612,             0.01381,             0.11063,             0.87614,             0.00051,              2.9941,             0.94676,             0.12496,             0.04649,             0.36596,              1.0381,              1.3393,             0.76742,                 0.2,              5.2259,                   0,             0.01266,             0.44921,             0.41735,                   0,             0.09413,             0.47311,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7011
             0.69339,             0.45351,             0.51172,             0.21035,            0.041823,            0.041368,           0.0069497,             0.01363,             0.10039,             0.91034,             0.00052,              3.7507,             0.91011,             0.12213,             0.04927,             0.34411,              1.0166,              1.3393,             0.76569,                 0.2,              4.8958,                   0,             0.01403,             0.47719,             0.40613,                   0,             0.09171,             0.46466,                   0,                   0,                   0,                 0.5,             0.99867,                   0,                   0,               3.287
