               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.032414,            0.035965,           0.0021557,             0.75602,             0.69497,             0.76594,             0.40147,            0.033153,            0.012673,           0.0010413,           0.0082019,           0.0082019,           0.0082019
                  61,            0.032353,            0.036373,           0.0026634,             0.64902,              0.8191,             0.78907,             0.41099,            0.031145,            0.012741,           0.0010162,            0.008145,            0.008145,            0.008145
                  62,            0.032219,            0.035264,           0.0026103,             0.78654,             0.72524,             0.79978,             0.43913,            0.031027,            0.012601,           0.0011431,           0.0080875,           0.0080875,           0.0080875
                  63,             0.03301,            0.037781,           0.0024571,             0.71374,             0.71448,             0.74705,             0.38381,            0.032718,            0.012825,          0.00091345,           0.0080294,           0.0080294,           0.0080294
                  64,            0.032387,            0.037048,            0.002205,             0.70082,             0.75707,             0.77509,              0.4072,            0.031634,            0.013018,           0.0023795,           0.0079706,           0.0079706,           0.0079706
                  65,            0.032379,            0.037764,           0.0024525,             0.80449,             0.69996,             0.78853,             0.43021,            0.032899,            0.012846,           0.0019847,           0.0079112,           0.0079112,           0.0079112
                  66,            0.032326,            0.039077,           0.0023232,             0.68271,             0.72253,             0.76544,             0.39166,            0.033247,            0.012581,           0.0020628,           0.0078512,           0.0078512,           0.0078512
                  67,              0.0321,            0.034573,           0.0020688,             0.70669,             0.68714,             0.75043,             0.39726,            0.032247,            0.012538,           0.0018233,           0.0077907,           0.0077907,           0.0077907
                  68,             0.03237,            0.035932,           0.0017284,             0.72896,             0.73774,             0.78292,             0.40997,            0.032701,            0.012492,          0.00094335,           0.0077296,           0.0077296,           0.0077296
                  69,            0.032079,            0.037228,           0.0019728,             0.68869,             0.77598,             0.76117,             0.40072,            0.032121,            0.012923,           0.0032902,           0.0076679,           0.0076679,           0.0076679
                  70,            0.031841,            0.036846,           0.0021566,             0.71523,             0.75852,             0.77775,              0.4109,            0.031859,            0.012715,           0.0043146,           0.0076057,           0.0076057,           0.0076057
                  71,            0.031157,            0.035977,           0.0017842,             0.69378,             0.72536,             0.77381,             0.41808,             0.03225,            0.012925,           0.0033328,            0.007543,            0.007543,            0.007543
                  72,            0.031527,            0.036871,           0.0018838,             0.69109,             0.73884,             0.74758,             0.41481,            0.031751,             0.01273,           0.0024342,           0.0074797,           0.0074797,           0.0074797
                  73,            0.031209,            0.035032,           0.0020551,             0.72588,             0.75005,             0.78057,             0.43422,            0.030987,            0.012635,           0.0006144,            0.007416,            0.007416,            0.007416
                  74,            0.031078,            0.034749,            0.002092,             0.73396,             0.72721,             0.78973,             0.42383,            0.031381,            0.012903,          0.00071007,           0.0073518,           0.0073518,           0.0073518
                  75,             0.03087,            0.036132,           0.0015941,             0.66638,             0.75628,              0.7771,             0.42567,            0.031162,            0.012687,           0.0021198,           0.0072872,           0.0072872,           0.0072872
                  76,            0.030998,             0.03429,           0.0018676,             0.66729,             0.77481,             0.78135,               0.436,            0.031593,            0.012631,           0.0027583,           0.0072221,           0.0072221,           0.0072221
                  77,            0.030773,            0.034991,           0.0018784,             0.71164,              0.7343,             0.79153,             0.43187,            0.030667,            0.012479,           0.0010886,           0.0071566,           0.0071566,           0.0071566
                  78,            0.030407,            0.032861,           0.0020701,             0.71361,             0.74061,             0.78152,             0.44257,            0.030806,            0.012557,           0.0022503,           0.0070906,           0.0070906,           0.0070906
                  79,            0.030333,            0.036794,           0.0017342,             0.68595,             0.73364,             0.77564,             0.42473,            0.031073,            0.012612,           0.0021975,           0.0070243,           0.0070243,           0.0070243
                  80,               0.031,            0.036207,           0.0020676,             0.65622,             0.80002,             0.78314,             0.42741,            0.029674,            0.012789,            0.003171,           0.0069576,           0.0069576,           0.0069576
                  81,            0.030924,            0.033381,           0.0018645,             0.67417,             0.74447,             0.76681,             0.42498,            0.030465,            0.012799,           0.0006993,           0.0068906,           0.0068906,           0.0068906
                  82,            0.030133,            0.033029,           0.0019315,             0.77502,             0.71629,             0.79418,             0.44769,            0.030398,            0.012572,           0.0022954,           0.0068232,           0.0068232,           0.0068232
                  83,            0.030116,            0.032095,           0.0014487,             0.73054,             0.74344,              0.8022,             0.44362,            0.030497,            0.012633,          0.00062704,           0.0067555,           0.0067555,           0.0067555
                  84,            0.030279,            0.036631,           0.0016787,             0.76615,             0.73192,             0.80005,             0.44369,            0.030221,            0.012652,           0.0012198,           0.0066874,           0.0066874,           0.0066874
                  85,            0.030186,            0.034352,           0.0018936,              0.7985,             0.65253,             0.75869,             0.42323,            0.032554,            0.012637,           0.0031682,           0.0066191,           0.0066191,           0.0066191
                  86,            0.030361,            0.033737,           0.0018418,             0.66842,             0.74427,             0.76957,             0.42576,            0.030305,            0.012896,           0.0018006,           0.0065505,           0.0065505,           0.0065505
                  87,            0.030239,            0.035314,            0.001662,             0.76066,             0.70975,             0.77052,             0.41708,             0.03144,            0.012685,           0.0021909,           0.0064816,           0.0064816,           0.0064816
                  88,            0.030248,            0.035176,           0.0020354,             0.73683,             0.75928,              0.8053,             0.43162,            0.030891,            0.012637,           0.0012359,           0.0064125,           0.0064125,           0.0064125
                  89,             0.03031,            0.035513,           0.0019277,             0.74279,             0.74864,             0.79115,             0.44717,            0.029898,            0.012792,           0.0014916,           0.0063432,           0.0063432,           0.0063432
                  90,            0.029779,             0.03428,           0.0017805,              0.7383,             0.75104,             0.80179,              0.4369,            0.030342,            0.012631,            0.001915,           0.0062737,           0.0062737,           0.0062737
                  91,            0.029844,            0.034281,           0.0018059,             0.76607,               0.734,              0.7897,             0.44749,            0.029889,            0.012574,          0.00096274,            0.006204,            0.006204,            0.006204
                  92,            0.029709,            0.035021,           0.0018389,             0.77343,             0.72967,             0.79101,             0.42295,            0.030688,             0.01268,           0.0015321,           0.0061341,           0.0061341,           0.0061341
                  93,            0.029694,              0.0346,            0.001855,             0.76363,             0.77933,              0.8191,             0.43482,            0.031747,            0.012158,           0.0012888,            0.006064,            0.006064,            0.006064
                  94,            0.030127,            0.034665,           0.0019589,             0.77146,             0.74056,             0.79258,             0.44988,            0.031041,            0.012341,           0.0021859,           0.0059938,           0.0059938,           0.0059938
                  95,            0.029532,              0.0325,           0.0018496,             0.75566,             0.75475,             0.80728,             0.45535,             0.03034,            0.012288,           0.0013675,           0.0059235,           0.0059235,           0.0059235
                  96,            0.029017,            0.033328,           0.0021339,             0.74768,             0.74418,             0.79741,             0.44608,            0.030301,            0.012302,           0.0020484,           0.0058531,           0.0058531,           0.0058531
                  97,            0.029185,            0.032289,           0.0015145,             0.77404,             0.73576,             0.79446,             0.44044,            0.030982,            0.012273,             0.00269,           0.0057826,           0.0057826,           0.0057826
                  98,            0.028985,             0.03224,           0.0016471,              0.7157,              0.7734,             0.81193,              0.4498,            0.030251,            0.012421,           0.0033831,            0.005712,            0.005712,            0.005712
                  99,            0.029184,            0.031957,           0.0016493,             0.73217,             0.74904,             0.79741,             0.43665,            0.031334,            0.012383,           0.0021939,           0.0056413,           0.0056413,           0.0056413
                 100,            0.028497,            0.033592,           0.0013304,             0.71849,             0.78519,             0.80698,              0.4215,            0.031396,            0.012391,           0.0037656,           0.0055707,           0.0055707,           0.0055707
                 101,            0.028877,            0.030732,           0.0015542,             0.71934,             0.77333,             0.80258,             0.43385,            0.030129,            0.012788,           0.0038835,              0.0055,              0.0055,              0.0055
